entry_index,exit_index,entry_time,exit_time,position,entry_price,exit_price,pnl,size,equity_after,exit_reason
885,892,2010-02-25 15:00:00,2010-02-25 23:00:00,long,4231.5,4235.25,885.0,236,992091.0,eod
917,923,2010-03-01 01:00:00,2010-03-01 07:00:00,long,4247.25,4240.75,-1527.5,235,992976.0,stop_loss
924,926,2010-03-01 08:00:00,2010-03-01 10:00:00,long,4243.25,4259.25,3760.0,235,991448.5,take_profit
929,938,2010-03-01 13:00:00,2010-03-01 23:00:00,long,4264.25,4264.5,58.5,234,995208.5,eod
1008,1009,2010-03-05 00:00:00,2010-03-05 01:00:00,long,4280.0,4280.0,0.0,233,995267.0,eow
1010,1011,2010-03-05 02:00:00,2010-03-05 03:00:00,long,4281.25,4281.25,0.0,233,995267.0,eow
1013,1014,2010-03-05 05:00:00,2010-03-05 06:00:00,long,4283.75,4281.75,-466.0,233,995267.0,eow
1015,1016,2010-03-05 07:00:00,2010-03-05 08:00:00,long,4284.25,4288.75,1048.5,233,994801.0,eow
1017,1018,2010-03-05 09:00:00,2010-03-05 10:00:00,long,4295.25,4301.75,1508.0,232,995849.5,eow
1020,1021,2010-03-05 12:00:00,2010-03-05 13:00:00,long,4304.5,4304.25,-58.0,232,997357.5,eow
1022,1023,2010-03-05 14:00:00,2010-03-05 15:00:00,long,4306.0,4305.5,-116.0,232,997299.5,eow
1055,1064,2010-03-09 01:00:00,2010-03-09 10:00:00,long,4304.75,4323.5,4350.0,232,997183.5,take_profit
1066,1068,2010-03-09 12:00:00,2010-03-09 14:00:00,long,4329.25,4321.25,-1840.0,230,1001533.5,stop_loss
1075,1076,2010-03-09 22:00:00,2010-03-09 23:00:00,long,4321.5,4320.75,-173.25,231,999693.5,eod
1238,1239,2010-03-19 00:00:00,2010-03-19 01:00:00,long,4362.5,4362.0,-114.5,229,999520.25,eow
1240,1241,2010-03-19 02:00:00,2010-03-19 03:00:00,long,4362.75,4362.25,-114.5,229,999405.75,eow
1242,1243,2010-03-19 04:00:00,2010-03-19 05:00:00,long,4361.25,4361.0,-57.25,229,999291.25,eow
1244,1245,2010-03-19 06:00:00,2010-03-19 07:00:00,long,4363.75,4363.75,0.0,229,999234.0,eow
1246,1247,2010-03-19 08:00:00,2010-03-19 09:00:00,long,4367.5,4361.25,-1425.0,228,999234.0,stop_loss
1249,1250,2010-03-19 11:00:00,2010-03-19 12:00:00,long,4350.5,4347.5,-687.0,229,997809.0,eow
1252,1253,2010-03-19 14:00:00,2010-03-19 15:00:00,long,4348.5,4350.0,343.5,229,997122.0,eow
1254,1255,2010-03-19 16:00:00,2010-03-21 18:00:00,long,4351.75,4342.75,-2061.0,229,997465.5,stop_loss
1261,1270,2010-03-22 00:00:00,2010-03-22 09:00:00,long,4344.0,4358.75,3392.5,230,995404.5,take_profit
1274,1283,2010-03-22 13:00:00,2010-03-22 23:00:00,long,4367.75,4367.75,0.0,228,998797.0,eod
1332,1341,2010-03-25 02:00:00,2010-03-25 11:00:00,long,4374.25,4393.25,4332.0,228,998797.0,take_profit
1343,1344,2010-03-25 13:00:00,2010-03-25 14:00:00,long,4383.5,4377.5,-1368.0,228,1003129.0,stop_loss
1345,1352,2010-03-25 15:00:00,2010-03-25 23:00:00,long,4368.25,4371.5,741.0,228,1001761.0,eod
1355,1356,2010-03-26 02:00:00,2010-03-26 03:00:00,long,4373.5,4375.5,456.0,228,1002502.0,eow
1358,1359,2010-03-26 05:00:00,2010-03-26 06:00:00,long,4374.5,4374.0,-114.0,228,1002958.0,eow
1360,1361,2010-03-26 07:00:00,2010-03-26 08:00:00,long,4378.25,4375.75,-570.0,228,1002844.0,eow
1362,1363,2010-03-26 09:00:00,2010-03-26 10:00:00,long,4377.25,4376.75,-114.0,228,1002274.0,eow
1367,1368,2010-03-26 14:00:00,2010-03-26 15:00:00,long,4367.75,4370.75,684.0,228,1002160.0,eow
1445,1454,2010-04-01 00:00:00,2010-04-01 09:00:00,long,4381.5,4395.75,3249.0,228,1002844.0,take_profit
1457,1458,2010-04-01 12:00:00,2010-04-01 13:00:00,long,4383.0,4371.5,-2622.0,228,1006093.0,stop_loss
